serial,ad_name,ad_set_name,amount_spent,max_roas,scroll_stop_(%),hook_rate_(%),hold_rate_(%),frequency,reach,results,result_rate_(%),cpr,cpc,ctr
6,ad_id_961,ad_set_093,59.51,0.74,50.64,39.91,20.21,1.25,1061,1,7.51,59.51,1.24,3.61
13,ad_id_1003,ad_set_062,128.88,1.67,47.9,38.49,18.43,1.26,2989,4,10.58,32.22,1.05,3.25
14,ad_id_886,ad_set_013,120.81,3.27,39.45,45.91,18.11,1.22,2837,8,23.03,15.1,0.93,3.74
15,ad_id_402,ad_set_004,100.33,2.66,47.41,34.88,16.53,1.26,2896,5,13.71,20.07,0.96,2.88
27,ad_id_1320,ad_set_065,145.02,1.49,53.18,49.73,26.45,1.45,2635,5,13.09,29,1.13,3.35
31,ad_id_1713,ad_set_050,76.63,0.61,48.59,43.66,21.21,1.25,1787,1,4.47,76.63,0.89,3.84
33,ad_id_34,ad_set_051,53.97,0.81,50.69,24.18,12.26,1.25,1159,1,6.89,53.97,1.23,3.03
35,ad_id_1778,ad_set_008,72.07,1.3,45.12,29.24,13.19,1.2,1617,2,10.27,36.04,0.91,4.06
37,ad_id_170,ad_set_067,532.76,1.88,32.64,41.06,13.4,1.26,10040,21,16.56,25.37,1.01,4.17
38,ad_id_141,ad_set_037,372.34,1.42,33.99,41.33,14.05,1.16,8046,12,12.86,31.03,1,4
39,ad_id_1541,ad_set_095,419.32,1.44,34.07,42.98,14.64,1.15,9183,13,12.27,32.26,0.88,4.48
40,ad_id_756,ad_set_023,86.29,1.52,25.74,47.28,12.17,1.43,1704,3,12.34,28.76,1.14,3.13
41,ad_id_317,ad_set_093,465.14,2.09,34.85,44.12,15.38,1.23,8999,21,19.03,22.15,0.95,4.45
44,ad_id_1132,ad_set_013,203.61,1.13,51.29,41.7,21.39,1.2,4087,4,8.16,50.9,1.02,4.08
50,ad_id_266,ad_set_006,105.3,1.03,43.54,32.24,14.04,1.11,1828,2,9.82,52.65,1.55,3.34
